'Problem56.I01_walsh_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_nested_blockMomentProduct_eq_global' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.measure_product_jointCumulant_expansion_global' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.measure_sum_globalRefinementExpansionSum_reindex' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.measure_sum_globalRefinementExpansionSum_eq_indiscrete' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.measure_partitionMomentProduct_indiscrete' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_moment_cumulant_inverse_nonempty_index' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.generalMomentIdentity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_blockProduct_update_of_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_blockProduct_update_of_notMem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_blockMoment_linear_update' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_partitionMoment_linear_update' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.generalMultilinearity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_jointCumulantOn_equiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_partitionMomentProduct_eq_sum_refinement_cumulant' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.measure_jointCumulantOn_blockProducts_eq_outerCoarseningSum' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.measure_outerCumulantCoarseningSum_reindex' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.measure_product_cumulant_connected_identity_nonempty' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.generalProductIdentity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.finiteJointMoments_update_constant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.finiteJointMoments_update_add_constant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_jointCumulant_constant_argument_zero' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.measure_jointCumulant_add_constant_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_jointCumulant_shift_finite_set' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.generalShiftInvariance' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_integral_const_family_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_jointCumulant_const_family_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_jointCumulant_identDistrib_repeat' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.generalOddSymmetry' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuous_operatorNorm_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measurable_fixed_failure' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measurable_bernoulli_failure' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.integrable_finite_event_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.integrable_fixed_failure' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.integrable_bernoulli_failure' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.general_sampling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.uniform_event_weight_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.fixed_noise_failure_law' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.bernoulli_noise_failure_law' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.general_sampling_joint' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.paperInputOutput_iff' depends on axioms: [propext]
'Problem56.PaperV6.graph_orientation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.graph_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.graph_operator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.transpose_heq_of_dims' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.graph_rank' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.sum_guard_eq_subtype' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.fiberSplit_equiv_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.graph_fiber_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.graph_reversal_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.paper_identity_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.graph_fiber_norm_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.v6_binary_constraints' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.v6_entry_contribution' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.boundaryEntriesPreserved_refl' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.boundaryEntriesPreserved_trans' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.rooted_elementary' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.rooted_history' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.rooted_history_consequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.rooted_graph_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.rooted_graph_norm_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.general_bridgeless_matrix_conversion' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.sampling_pointwise' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.l2_two_coordinates_squared' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.bool_uniform_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.singleton_uniform_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.real_sample_domain_finite_moments' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.dirac_real_probability_normalization' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.rectangular_mul_pow_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.rectangular_trace_mul_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.rectangular_trace_power' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.gram_centering' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.ExtractionRegression.i35_empty_upper_mass_and_guard' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.ExtractionRegression.i35_unconditional_support_conflict' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.ExtractionRegression.i16_empty_selector_counterexample' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.ExtractionRegression.i16_expected_rank_guard' depends on axioms: [propext, Quot.sound]
'Problem56.ExtractionRegression.i19_two_loop_endpoint_counterexample' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.ExtractionRegression.i19_expected_rank_guard' depends on axioms: [propext, Quot.sound]
'Problem56.ExtractionRegression.i08_empty_lhs' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.ExtractionRegression.i08_empty_rhs' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.ExtractionRegression.i08_empty_boundary_conflict' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.ExtractionRegression.i08_expected_nonempty_guard' depends on axioms: [propext]
'Problem56.GraphOperatorRegression.graphOperator_dim_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.GraphOperatorRegression.exact_scalar_chain' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.GraphOperatorRegression.exact_scalar_diamond' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.GraphOperatorRegression.exact_scalar_parallel_edges' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.GraphOperatorRegression.transpose_preserves_required_norm' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.GraphOperatorRegression.zero_dimensional_domain_has_zero_norm' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.GraphOperatorUnequalRegression.exact_unequal_dimensional_chain' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV7.certified_main' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.certified_explicit_main' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.certified_spectral_transfer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.certified_signed_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.certified_bernoulli' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.certified_small_rank' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.certified_sampling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.main_prescribed_width_ose' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.frame_failure_large_prescribed_width' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.general_sampling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.general_sampling_joint' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.general_sampling_joint_saturated' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.fixed_size_sampling_transfer_proof' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.entry_absolute_contribution' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.centeredBernoulliMomentVarianceBound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.paperSelectorCoefficient_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.sampling_lower_count_tail_bound_sharp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.sampling_pointwise_saturated_sharp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.general_sampling_saturated_sharp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.general_sampling_joint_saturated_sharp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.saturated_upper_quadraticForm_chain' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.exact_width_small_rank_tail' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.exact_width_effective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.exact_width_exponential_tail' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.two_projection_spectral_transfer_proof' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.signedTrace_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.signedTrace_master_geometric_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.bernoulli_coordinate_sampling_corollary_of_trace' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV7.small_rank_failure_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.frameFailureProbability_full_sample' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.bad_spectral_edge_large_root' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.exists_twoProjection_bad_block_trace_gt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.signBernoulliExpectation_trace_eq_partition_cumulant_sum' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV7.uniform_key_nested_coupling_fintype' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.sampling_pointwise_saturated' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.saturated_full_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.small_rank_second_moment' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.prescribedWidth_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV7.prescribedWidth_nonfull_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
